aid,name
180,SPRINKLE IP LAW GROUP
181,JAN P WEIR
182,CONLEY ROSE PC
183,ROSENBERG KLEIN LEE
184,DOBRUSIN THENNISCH PC
185,MICHAEL BEST FRIEDRICH LLP
186,KRIS T FREDRICK
187,CHRISTIE PARKER HALE LLP
188,ALBERT J FASULO II
189,BACON THOMAS PLLC
190,TERADYNE LEGAL DEPARTMENT
191,JAMES A DELAND
192,VOLPE AND KOENIG PC
193,SEYFARTH SHAW LLP
194,DORSEY WHITNEY LLP
195,NEAL GERBER EISENBERG LLP
196,THOMAS KAYDEN HORSTEMEYER RISLEY LLP
197,HEAD JOHNSON KACHIGIAN
198,COLLARD ROE PC
199,FRANCOIS MARTINEAU
200,JEFFER MANGELS BUTLER MARMARO LLP
201,STEVEN J ADAMSON
202,LEONG C LEI
203,FASKEN MARTINEAU DUMOULIN LLP
204,HUSCH EPPENBERGER LLC
205,GRANT D KANG
206,STROOCK STROOCK LAVAN LLP
207,GARDNER GROFF PC
208,WERNER H STEMBER
209,KRISTOFER E ELBING
210,MICHAEL C SACHS
211,JOHN F MORAN
212,WIGGIN AND DANA LLP
213,GREGORY S ROSENBLATT
214,WENDY BUSKOP
215,BUSKOP LAW GROUP PC
216,BRACEWELL PATTERSON LLP
217,C G MERSEREAU
218,BLYNN L SBIDELER
219,KRISANNE SHIDELER
220,BLK LAW GROUP
221,PRICE HENEVELD COOPER DEWITT LITTON LLP
222,JANSSON SHUPE MUNGER LTD
223,BRP LEGAL SERVICES
224,ROBERT C KAIN JR
225,FLEIT KAIN
226,JAMES M KASISCHKE
227,MICHAEL F OGLO
228,DORITY MANNING PA
229,JONATHAN A BAY
230,MOLINS AND CO
231,SALWANCHIK LLOYD SALIWANCHIK
232,MORGAN FINNEGAN LLP
233,KENNETH H SONNENFELD
234,MICHAEL I KROLL
235,SYNNESTVEDT LECHNER LLP
236,RAYMOND N ERVIN LTD
237,RAYMOND NATHANIEL ERVIN
238,CLINTON H WILKINSON
239,JEFFREY L THOMPSON
240,THOMPSON THOMPSON PA
241,IRELL MANELLA LLP
242,L J KASPER
243,MUSERLIAN LUCAS AND MERCANTI
244,ARENT FOX PLLC
245,WEGMAN HESSLER VANDERBUR
246,SALTER MICHAELSON
247,QUARLES BRADY LLP
248,MICHAEL B MCNEIL
249,CROWELL MORING LLP
250,RONALD E GREIGG
251,POLSTER LIEDER WOODRUFF LUCCHESI LC
252,NIXON PEABODY LLP
253,TIM L BRACKETT JR
254,J BRUCE SCHELKOPF
255,BARNES THORNBURG
256,HUNTON WILLIAMS LLP
