LINK_ID,MULTI_ID,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,REMARK
1060002104,1,103,000,46,망우로,
1060002104,2,103,000,47,망우로,
1060002201,1,103,000,46,망우로,
1060002201,2,103,000,47,망우로,
1060002203,1,103,000,46,망우로,
1060002203,2,103,000,47,망우로,
1060002204,1,103,000,46,망우로,
1060002204,2,103,000,47,망우로,
1060002501,1,103,000,46,망우로,
1060002501,2,103,000,47,망우로,
1060002502,1,103,000,46,망우로,
1060002502,2,103,000,47,망우로,
1060002601,1,103,000,46,망우로,
1060002601,2,103,000,47,망우로,
1060002602,1,103,000,46,망우로,
1060002602,2,103,000,47,망우로,
1060002701,1,103,000,46,망우로,
1060002701,2,103,000,47,망우로,
1060002702,1,103,000,46,망우로,
1060002702,2,103,000,47,망우로,
1060002801,1,103,000,46,망우로,
1060002801,2,103,000,47,망우로,
1060002802,1,103,000,46,망우로,
1060002802,2,103,000,47,망우로,
1060002901,1,103,000,46,망우로,
1060002901,2,103,000,47,망우로,
1060002902,1,103,000,46,망우로,
1060002902,2,103,000,47,망우로,
1060003001,1,103,000,46,망우로,
1060003001,2,103,000,47,망우로,
1060003002,1,103,000,46,망우로,
1060003002,2,103,000,47,망우로,
1060003901,1,103,000,47,용마산로,
1060003902,1,103,000,47,용마산로,
1060003903,1,103,000,47,용마산로,
1060003904,1,103,000,47,용마산로,
1060004001,1,103,000,47,용마산로,
1060004002,1,103,000,47,용마산로,
1060004003,1,103,000,47,용마산로,
1060004004,1,103,000,47,용마산로,
1060004601,1,103,000,47,용마산로,
1060004602,1,103,000,47,용마산로,
1060004603,1,103,000,47,용마산로,
1060004702,1,103,000,47,용마산로,
1060004703,1,103,000,47,용마산로,
1060005201,1,103,000,47,용마산로,
1060005202,1,103,000,47,용마산로,
1060005301,1,103,000,47,용마산로,
1060005302,1,103,000,47,용마산로,
1060006302,1,103,000,47,경춘북로,
1060006303,1,103,000,47,경춘북로,
1060006304,1,103,000,47,경춘북로,
1060006402,1,103,000,47,경춘북로,
1060006403,1,103,000,47,경춘북로,
1060006404,1,103,000,47,경춘북로,
1060038500,1,103,002,47,용마산로,
1060038600,1,103,002,47,용마산로,
1060065600,1,103,003,46,망우로,
1060065700,1,103,003,46,망우로,
1120000701,1,103,000,46,신촌로,
1120000702,1,103,000,46,신촌로,
1120000801,1,103,000,46,신촌로,
1120000802,1,103,000,46,신촌로,
1120000901,1,103,000,46,충정로,
1120000902,1,103,000,46,충정로,
1120000904,1,103,000,46,충정로,
1120000905,1,103,000,46,충정로,
1120001001,1,103,000,46,충정로,
1120001002,1,103,000,46,충정로,
1120001003,1,103,000,46,충정로,
1120001004,1,103,000,46,충정로,
1120001005,1,103,000,46,충정로,
1120018600,1,103,001,46,새문안로,
1120018700,1,103,001,46,새문안로,
1130004101,1,103,000,48,성산로,
1130004102,1,103,000,48,성산로,
1130004201,1,103,000,48,성산로,
1130004202,1,103,000,48,성산로,
1130004203,1,103,000,48,성산로,
1130052300,1,103,003,48,성산로,
1130052801,1,103,003,48,성산로,
1130052802,1,103,003,48,성산로,
1130055600,1,103,000,48,성산로,
1140000301,1,103,000,48,공항대로,
1140000302,1,103,000,48,공항대로,
1140000303,1,103,000,48,공항대로,
1140000304,1,103,000,48,공항대로,
1140000305,1,103,000,48,공항대로,
1140000306,1,103,000,48,공항대로,
1140000401,1,103,000,48,공항대로,
1140000402,1,103,000,48,공항대로,
1140000403,1,103,000,48,공항대로,
1140000404,1,103,000,48,공항대로,
1140000405,1,103,000,48,공항대로,
1140000406,1,103,000,48,공항대로,
1140075800,1,103,003,48,공항대로,
1140075900,1,103,003,48,공항대로,
1150000301,1,103,000,48,공항대로,
1150000303,1,103,000,48,공항대로,
1150000305,1,103,000,48,공항대로,
1150000306,1,103,000,48,공항대로,
1150000307,1,103,000,48,공항대로,
1150000401,1,103,000,48,공항대로,
1150000403,1,103,000,48,공항대로,
1150000404,1,103,000,48,공항대로,
1150000406,1,103,000,48,공항대로,
1150000407,1,103,000,48,공항대로,
1150000501,1,103,000,48,공항대로,
1150000502,1,103,000,48,공항대로,
1150000601,1,103,000,48,공항대로,
1150000602,1,103,000,48,공항대로,
1150000901,1,103,000,48,공항대로,
1150000902,1,103,000,48,공항대로,
1150000903,1,103,000,48,공항대로,
1150000904,1,103,000,48,공항대로,
1150001001,1,103,000,48,공항대로,
1150001002,1,103,000,48,공항대로,
1150001003,1,103,000,48,공항대로,
1150001004,1,103,000,48,공항대로,
1150001301,1,103,000,48,공항대로,
1150001302,1,103,000,48,공항대로,
1150001303,1,103,000,48,공항대로,
1150001304,1,103,000,48,공항대로,
